ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2024,5,Airedale NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.962694662,53.89801502,1786,-1,-1,0,Suppressed due to small numbers,2.45,4,Within 5%,1.60 to 3.73,1781,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.37 to 1.13,6,3.36,5,Over 5% higher,3.14,4,Within 5%,2.23 to 4.51,5,"Under 2,000 births",2.44,0.7,3.13
2024,7,Aneurin Bevan University Health Board,Wales,Wales,,,Wales,-2.998152313,51.57979804,5285,19,3.6,5,Over 5% higher,3.33,4,Within 5%,2.55 to 4.30,5266,6,1.14,2,Over 15% lower,1.46,4,Within 5%,1.03 to 2.00,25,4.73,4,Within 5%,4.79,4,Within 5%,4.02 to 6.10,2,Level 3 NICU,3.22,1.46,4.68
2024,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,South East,,,"Kent, Surrey and Sussex",-0.472709324,51.44410155,2767,9,3.25,4,Within 5%,3.28,4,Within 5%,2.41 to 4.27,2758,3,1.09,2,Over 15% lower,1.33,3,5 to 15% lower,0.87 to 1.89,12,4.34,3,5 to 15% lower,4.5,4,Within 5%,3.70 to 5.89,2,Level 3 NICU,3.22,1.46,4.68
2024,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,London,,,London,0.112106859,51.58054479,7269,30,4.13,5,Over 5% higher,2.92,5,Over 5% higher,2.32 to 3.83,7239,3,0.41,2,Over 15% lower,0.7,4,Within 5%,0.47 to 1.01,33,4.54,5,Over 5% higher,3.62,5,Over 5% higher,3.05 to 4.77,3,"4,000 or more births",2.72,0.73,3.44
2024,13,Barnsley Hospital NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.499578108,53.55831397,2895,-1,-1,0,Suppressed due to small numbers,2.69,4,Within 5%,2.05 to 3.47,2888,-1,-1,0,Suppressed due to small numbers,0.81,4,Within 5%,0.54 to 1.15,8,2.76,2,Over 15% lower,3.49,4,Within 5%,2.90 to 4.45,4,"2,000-3,999 births",2.71,0.83,3.54
2024,14,Barts Health NHS Trust,England,London,,,London,0.002638361,51.57883109,14379,49,3.41,5,Over 5% higher,3.02,3,5 to 15% lower,2.33 to 3.87,14330,15,1.05,2,Over 15% lower,1.25,4,Within 5%,0.91 to 1.68,64,4.45,4,Within 5%,4.25,4,Within 5%,3.58 to 5.29,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,118,Bedfordshire Hospitals NHS Foundation Trust,England,East of England,,,East of England,-0.474268944,51.89417721,8112,27,3.33,4,Within 5%,3.21,4,Within 5%,2.33 to 4.17,8085,11,1.36,3,5 to 15% lower,1.49,4,Within 5%,1.09 to 2.12,38,4.68,4,Within 5%,4.69,4,Within 5%,3.90 to 5.97,2,Level 3 NICU,3.22,1.46,4.68
2024,17,Belfast Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-5.952873891,54.59439114,4584,22,4.8,5,Over 5% higher,3.63,5,Over 5% higher,2.77 to 5.13,4562,13,2.85,5,Over 5% higher,1.39,5,Over 5% higher,0.98 to 2.07,35,7.64,5,Over 5% higher,5,5,Over 5% higher,4.22 to 6.73,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,20,Betsi Cadwaladr University Health Board,Wales,Wales,,,Wales,-4.159825146,53.20901957,5581,16,2.87,5,Over 5% higher,3.03,5,Over 5% higher,2.31 to 4.66,5565,5,0.9,5,Over 5% higher,0.72,4,Within 5%,0.51 to 1.01,21,3.76,5,Over 5% higher,3.66,5,Over 5% higher,3.05 to 5.08,3,"4,000 or more births",2.72,0.73,3.44
2024,22,Birmingham Women's and Children's NHS Foundation Trust,England,Midlands,,,West Midlands,-1.942243239,52.45318512,7373,32,4.34,5,Over 5% higher,3.31,4,Within 5%,2.58 to 4.27,7341,23,3.13,5,Over 5% higher,1.53,5,Over 5% higher,1.04 to 2.33,55,7.46,5,Over 5% higher,4.86,5,Over 5% higher,4.15 to 6.38,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
